code,name,revenue,net_profit,roe,revenue_growth,gross_margin,debt_ratio,current_ratio,asset_turnover
301236,软通动力,350.8990,2.0611,1.9700,12.0496,11.2019,61.0295,1.5720,1.3871
688009,中国通号,346.7734,36.8641,7.5300,6.2300,28.8819,55.6541,1.5606,0.2936
301358,湖南裕能,346.2477,12.7718,10.4500,53.2169,9.1549,66.8899,1.0215,0.9973
600219,南山铝业,346.1986,47.3551,9.2500,3.4133,25.1968,19.2784,2.9265,0.4870
927,中国铁物,343.1812,5.7592,6.0400,-9.9607,6.0240,46.9858,1.8536,1.6437
617,中油资本,337.9685,42.9994,4.1600,-13.3900,34.5016,83.0341,0.7315,0.0305
411,英特集团,336.7911,5.0124,10.5000,0.9818,6.9947,65.5451,1.3648,2.1445
2911,佛燃能源,335.9509,10.3027,19.0000,6.3491,6.2187,49.3468,1.0343,1.7029
300760,迈瑞医疗,332.8216,81.3578,21.5800,-9.3765,60.3156,27.4276,2.3630,0.5743
528,柳工,331.4388,16.0923,9.0300,10.2491,22.4101,60.3035,1.3819,0.6808
600278,东方创业,330.4525,2.0250,2.6400,-6.7289,5.1872,57.1922,1.4520,1.7494
2236,大华股份,327.4378,38.5792,10.4200,1.7490,40.6221,26.7977,2.5501,0.6219
2920,德赛西威,325.5718,24.5358,21.6700,17.8836,19.0686,47.8555,1.7250,1.2686
600600,青岛啤酒,324.7349,45.8810,15.5000,1.0444,41.8444,39.5526,1.4580,0.6272
701,厦门信达,323.7780,0.1524,-21.4500,-26.1867,3.1816,76.7837,1.0358,2.3637
300428,立中集团,321.2413,8.8588,11.4300,17.9024,9.5991,61.3008,1.3796,1.4174
600276,恒瑞医药,316.2942,77.1105,14.2600,13.0243,86.2070,11.5512,8.0842,0.5271
999,华润三九,316.0258,34.2100,16.0700,14.4332,54.0300,34.5765,1.8254,0.6392
69,华侨城A,313.8120,-144.9611,-34.4400,-42.3217,9.2883,80.5952,1.3335,0.1038
601018,宁波港,310.2036,51.6847,6.4600,7.4144,28.8617,26.9884,0.9778,0.2618
2050,三花智控,310.1174,40.6289,15.8000,10.9656,28.7770,35.1493,2.1947,0.7232
600426,华鲁恒升,309.6888,33.1549,10.3200,-9.5166,19.1553,28.5231,1.5411,0.6463
31,大悦城,308.9237,-23.5027,-22.5200,-13.6860,31.7976,77.2716,1.5036,0.1841
600667,太极实业,306.8171,4.4811,5.2200,-12.7670,7.6538,72.9093,1.0741,0.9103
600307,酒钢宏兴,305.7384,-19.9811,-30.6900,-12.2493,7.7926,89.2566,0.2898,0.6235
300866,安克创新,305.1440,25.4513,26.1000,23.4897,45.0654,46.6202,2.3767,1.6642
600256,广汇能源,304.4001,13.4527,5.0900,-16.4686,19.6971,54.5599,0.3632,0.5645
521,长虹美菱,304.0793,4.1041,6.7200,6.3176,10.5016,70.8948,1.0365,1.3142
200521,虹美菱B,304.0793,4.1041,6.7200,6.3176,10.5016,70.8948,1.0365,1.3142
600266,城建发展,302.8088,-4.1320,-3.2600,19.0184,19.9603,75.8919,1.9778,0.2687
1289,龙源电力,302.5271,45.2622,6.0800,-18.5968,34.7886,66.5494,0.6290,0.1157
2080,中材科技,301.9549,18.1778,9.4900,25.8993,18.9317,56.7910,0.9260,0.4814
2128,电投能源,301.1496,54.1909,14.9400,0.8570,36.8341,22.7501,1.2346,0.5571
600711,盛屯矿业,300.0268,19.6142,12.1350,16.6037,19.1240,58.8398,1.2025,0.7441
600569,安阳钢铁,299.9365,-4.9699,-20.8500,1.1937,5.9359,91.4854,0.5651,0.6864
601139,深圳燃气,298.0092,14.0798,8.8100,5.1249,17.6370,59.9156,0.8355,0.6379
601689,拓普集团,295.8146,27.7907,12.3700,11.2071,19.4287,45.0671,1.2576,0.7261
2532,天山铝业,295.0215,48.1785,17.0000,5.0294,24.4018,45.4045,0.9979,0.5319
300772,运达股份,294.0238,3.3993,5.3000,32.4544,7.5643,84.4006,0.8862,0.6381
600141,兴发集团,292.9952,14.9205,6.8400,3.1801,17.9565,53.1064,0.6021,0.5872
600582,天地科技,292.4241,24.4690,9.8200,-4.2070,25.6045,46.1543,1.3859,0.4994
830,鲁西化工,291.4346,9.0671,4.8300,-2.0806,10.9713,46.5360,0.3523,0.8101
2385,大北农,291.1893,-6.4152,-7.8500,1.2235,12.7462,66.9569,0.7520,0.9964
600038,中直股份,290.8642,6.5187,3.9900,-2.2819,9.2234,65.6981,1.4718,0.5606
553,安道麦A,289.4459,-10.4572,-5.7100,-1.8430,26.3356,63.7351,1.1419,0.5876
200553,安道麦B,289.4459,-10.4572,-5.7100,-1.8430,26.3356,63.7351,1.1419,0.5876
603288,海天味业,288.7338,70.3847,19.5900,7.3180,40.2229,19.8227,3.8549,0.6205
603501,豪威集团,288.5481,40.4542,15.3900,12.1418,30.6349,35.4277,2.1028,0.6990
605599,菜百股份,288.1955,11.3307,26.4700,42.4407,8.3041,50.5575,1.9829,3.4573
600567,山鹰国际,287.7817,-11.3560,-7.6400,-1.5433,6.1335,69.9773,0.4336,0.5540
688187,时代电气,287.0270,40.9654,9.8100,15.2305,33.4320,36.2901,1.7043,0.4194
2092,中泰化学,286.9588,-2.8875,-1.3400,-4.7387,19.9712,65.7242,0.4506,0.3731
601333,广深铁路,286.8583,14.2579,5.1600,5.8906,5.6349,23.5269,1.6791,0.7805
